prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,iny_co2,iny_otro,tef,tipoextraccion,profundidad,cuenca,tipo_de_recurso,Unnamed: 12
5.466,131.734,3.81,0.0,0.0,0,0.0,30.92,Plunger Lift,2700.0,NEUQUINA,NO CONVENCIONAL,
2.59,494.57,11.5,0.0,0.0,0,0.0,31.0,Surgencia Natural,3375.0,NEUQUINA,NO CONVENCIONAL,
8.54,345.86,0.0,0.0,0.0,0,0.0,30.04,Surgencia Natural,3795.0,NEUQUINA,NO CONVENCIONAL,
146.87,,32.56,0.0,0.0,0,0.0,30.12,Surgencia Natural,3838.0,NEUQUINA,NO CONVENCIONAL,
2.201,164.605,7.03,0.0,0.0,0,0.0,30.73,Surgencia Natural,3854.0,NEUQUINA,NO CONVENCIONAL,
73.39,,43.77,0.0,0.0,0,0.0,30.96,Surgencia Natural,3949.0,NEUQUINA,NO CONVENCIONAL,
139.5,1467.58,19.46,0.0,0.0,0,0.0,31.0,Surgencia Natural,3803.0,NEUQUINA,NO CONVENCIONAL,
6.19,108.78,4.9,0.0,0.0,0,0.0,31.0,Plunger Lift,2633.0,NEUQUINA,NO CONVENCIONAL,
15.6,274.01,22.94,0.0,0.0,0,0.0,31.0,Surgencia Natural,3703.0,NEUQUINA,NO CONVENCIONAL,
5.88,305.56,5.98,0.0,0.0,0,0.0,31.0,Surgencia Natural,3806.0,NEUQUINA,NO CONVENCIONAL,
45.9,879.41,52.66,0.0,0.0,0,0.0,31.0,Surgencia Natural,2700.0,NEUQUINA,NO CONVENCIONAL,
4.309,204.757,10.18,0.0,0.0,0,0.0,31.0,Surgencia Natural,3838.0,NEUQUINA,NO CONVENCIONAL,
17.86,321.75,13.9,0.0,0.0,0,0.0,31.0,Surgencia Natural,3898.0,NEUQUINA,NO CONVENCIONAL,
7.07,181.34,6.83,0.0,0.0,0,0.0,31.0,Plunger Lift,2710.0,NEUQUINA,NO CONVENCIONAL,
6.57,226.47,14.04,0.0,0.0,0,0.0,31.0,Plunger Lift,2700.0,NEUQUINA,NO CONVENCIONAL,
12.49,157.0,7.02,0.0,0.0,0,0.0,31.0,Plunger Lift,2688.0,NEUQUINA,NO CONVENCIONAL,
8.32,226.85,0.0,0.0,0.0,0,0.0,31.0,Plunger Lift,2710.0,NEUQUINA,NO CONVENCIONAL,
1.57,23.229,9.89,0.0,0.0,0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,
14.04,272.42,9.88,0.0,0.0,0,0.0,31.0,Plunger Lift,2638.0,NEUQUINA,NO CONVENCIONAL,
4.71,21.38,19.14,0.0,0.0,0,0.0,31.0,Surgencia Natural,3815.0,NEUQUINA,NO CONVENCIONAL,
6.99,172.28,1.59,0.0,0.0,0,0.0,31.0,Surgencia Natural,2647.0,NEUQUINA,NO CONVENCIONAL,
6.48,,28.74,0.0,0.0,0,0.0,31.0,Surgencia Natural,2758.0,NEUQUINA,NO CONVENCIONAL,
8.76,15.67,0.05,0.0,0.0,0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,
2.245,59.423,10.6,0.0,0.0,0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,
3.94,925.01,99.72,0.0,0.0,0,0.0,31.0,Surgencia Natural,3645.0,NEUQUINA,NO CONVENCIONAL,
1.34,49.99,9.78,0.0,0.0,0,0.0,30.58,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,
79.19,338.26,47.22,0.0,0.0,0,0.0,30.96,Surgencia Natural,3764.0,NEUQUINA,NO CONVENCIONAL,
30.54,558.97,56.9,0.0,0.0,0,0.0,31.0,Surgencia Natural,3524.0,NEUQUINA,NO CONVENCIONAL,
6.584,134.887,9.64,0.0,0.0,0,0.0,31.0,Plunger Lift,2700.0,NEUQUINA,NO CONVENCIONAL,
54.07,278.6,32.24,0.0,0.0,0,0.0,30.96,Surgencia Natural,3890.0,NEUQUINA,NO CONVENCIONAL,
9.899,965.435,23.2,0.0,0.0,0,0.0,28.45,Surgencia Natural,3814.0,NEUQUINA,NO CONVENCIONAL,
24.69,1355.26,24.86,0.0,0.0,0,0.0,30.58,Surgencia Natural,3814.0,NEUQUINA,NO CONVENCIONAL,
1.08,259.63,20.28,0.0,0.0,0,0.0,31.0,Surgencia Natural,3353.0,NEUQUINA,NO CONVENCIONAL,
5.06,201.36,6.88,0.0,0.0,0,0.0,31.0,Plunger Lift,2396.0,NEUQUINA,NO CONVENCIONAL,
21.99,417.84,3.05,0.0,0.0,0,0.0,31.0,Surgencia Natural,3838.0,NEUQUINA,NO CONVENCIONAL,
7.7,655.0,17.34,0.0,0.0,0,0.0,31.0,Surgencia Natural,2618.0,NEUQUINA,NO CONVENCIONAL,
1.35,92.18,5.92,0.0,0.0,0,0.0,31.0,Plunger Lift,2396.0,NEUQUINA,NO CONVENCIONAL,
5.24,,1.59,0.0,0.0,0,0.0,31.0,Surgencia Natural,2592.0,NEUQUINA,NO CONVENCIONAL,
3.69,219.39,10.13,0.0,0.0,0,0.0,31.0,Plunger Lift,2594.0,NEUQUINA,NO CONVENCIONAL,
8.31,166.45,7.46,0.0,0.0,0,0.0,31.0,Plunger Lift,2700.0,NEUQUINA,NO CONVENCIONAL,
1.72,287.14,33.44,0.0,0.0,0,0.0,21.0,Surgencia Natural,3252.0,NEUQUINA,NO CONVENCIONAL,
28.5,627.54,31.62,0.0,0.0,0,0.0,31.0,Surgencia Natural,2955.0,NEUQUINA,NO CONVENCIONAL,
103.16,769.01,61.42,0.0,0.0,0,0.0,30.63,Surgencia Natural,3783.0,NEUQUINA,NO CONVENCIONAL,
3.705,317.875,5.83,0.0,0.0,0,0.0,31.0,Surgencia Natural,3806.0,NEUQUINA,NO CONVENCIONAL,
373.44,,142.02,0.0,0.0,0,0.0,30.79,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,
319.61,,105.75,0.0,0.0,0,0.0,30.38,Surgencia Natural,3856.0,NEUQUINA,NO CONVENCIONAL,
5.228,26.166,1.45,0.0,0.0,0,0.0,31.0,Plunger Lift,2633.0,NEUQUINA,NO CONVENCIONAL,
368.24,,98.22,0.0,0.0,0,0.0,30.67,Surgencia Natural,3850.0,NEUQUINA,NO CONVENCIONAL,
1.71,48.13,0.0,0.0,0.0,0,0.0,31.0,Plunger Lift,2633.0,NEUQUINA,NO CONVENCIONAL,
19.416,487.018,15.31,0.0,0.0,0,0.0,30.63,Plunger Lift,2700.0,NEUQUINA,NO CONVENCIONAL,
88.34,583.25,24.94,0.0,0.0,0,0.0,30.96,Surgencia Natural,3850.0,NEUQUINA,NO CONVENCIONAL,
348.75,,77.89,0.0,0.0,0,0.0,30.54,Surgencia Natural,3803.0,NEUQUINA,NO CONVENCIONAL,
5.597,142.613,0.39,0.0,0.0,0,0.0,31.0,Plunger Lift,2710.0,NEUQUINA,NO CONVENCIONAL,
574.95,,655.29,0.0,0.0,0,0.0,29.29,Surgencia Natural,3844.0,NEUQUINA,NO CONVENCIONAL,
203.99,,30.95,0.0,0.0,0,0.0,31.0,Surgencia Natural,3785.0,NEUQUINA,NO CONVENCIONAL,
0.362,115.77,0.0,0.0,0.0,0,0.0,31.0,Plunger Lift,2638.0,NEUQUINA,NO CONVENCIONAL,
114.46,945.75,34.65,0.0,0.0,0,0.0,31.0,Surgencia Natural,3860.0,NEUQUINA,NO CONVENCIONAL,
14.59,143.8,0.0,0.0,0.0,0,0.0,31.0,Plunger Lift,2638.0,NEUQUINA,NO CONVENCIONAL,
99.47,918.9,47.83,0.0,0.0,0,0.0,30.67,Surgencia Natural,3782.0,NEUQUINA,NO CONVENCIONAL,
