prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,iny_co2,iny_otro,tef,tipoextraccion,profundidad,cuenca,tipo_de_recurso,tipopozo
373.44,1594.75,142.02,0.0,0.0,0.0,0.0,30.79,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
9.76,96.32,2.66,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
86.54,73.2,66.06,0.0,0.0,0.0,0.0,30.54,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
15.22,16.15,21.96,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
2.58,47.75,15.25,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
67.47,493.93,91.44,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
106.58,153.51,146.0,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
111.2,492.65,61.05,0.0,0.0,0.0,0.0,30.92,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
12.18,18.25,3.74,0.0,0.0,0.0,0.0,29.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
1.76,37.0,2.46,0.0,0.0,0.0,0.0,29.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
76.0,151.52,164.31,0.0,0.0,0.0,0.0,29.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
103.14,486.73,110.19,0.0,0.0,0.0,0.0,29.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
116.14,565.12,69.58,0.0,0.0,0.0,0.0,29.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
297.33,1379.87,146.2,0.0,0.0,0.0,0.0,28.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
59.03,63.84,20.26,0.0,0.0,0.0,0.0,28.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
58.22,93.14,43.22,0.0,0.0,0.0,0.0,27.83,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
337.7,1609.55,174.8,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
50.54,49.37,31.14,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
43.61,41.97,26.78,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
13.51,15.51,18.11,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
2.14,31.11,12.51,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
187.14,733.15,30.69,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
84.25,166.26,134.7,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
145.36,377.45,64.11,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
163.57,668.14,24.24,0.0,0.0,0.0,0.0,30.0,Plunger Lift,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
73.64,159.81,106.4,0.0,0.0,0.0,0.0,30.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
116.12,345.4,33.94,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
2.36,29.06,14.0,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
11.8,14.95,17.51,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
31.71,35.1,15.91,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
38.7,35.4,19.48,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
336.99,1552.0,184.64,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
37.12,21.14,20.36,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
10.05,11.43,5.71,0.0,0.0,0.0,0.0,23.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
1.74,23.76,4.13,0.0,0.0,0.0,0.0,22.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
77.18,171.13,125.98,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
95.74,391.71,23.48,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
33.51,21.26,18.37,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
193.82,1256.13,203.79,0.0,0.0,0.0,0.0,30.5,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
2.02,34.15,7.72,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
10.44,15.29,12.96,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
35.77,19.56,21.28,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
34.89,21.18,20.61,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
156.41,1191.6,183.58,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
75.82,166.66,124.98,0.0,0.0,0.0,0.0,30.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
55.85,267.57,12.75,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
1.63,33.56,8.84,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
39.26,17.1,4.47,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
4.35,14.79,16.64,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
39.32,19.91,4.49,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
84.86,166.41,137.55,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
41.82,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Surgencia Natural,3860.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
27.74,170.78,7.33,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
45.16,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Surgencia Natural,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
50.69,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Surgencia Natural,3920.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
146.34,1091.94,240.04,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
33.74,19.77,9.8,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
33.78,16.35,9.8,0.0,0.0,0.0,0.0,29.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
86.05,152.9,97.36,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
27.68,87.14,11.83,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
90.97,54.0,82.56,0.0,0.0,0.0,0.0,31.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
134.6,1101.08,246.08,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
596.8,1112.56,199.08,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3860.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
642.92,851.81,204.62,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3920.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
4.41,17.77,20.96,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
1.65,40.34,11.13,0.0,0.0,0.0,0.0,31.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
16.56,23.14,19.93,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
1.56,37.49,17.67,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
4.17,16.83,33.26,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3800.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
232.72,111.77,151.2,0.0,0.0,0.0,0.0,29.42,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
123.4,1037.26,176.41,0.0,0.0,0.0,0.0,30.0,Surgencia Natural,3885.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
5.92,38.02,10.13,0.0,0.0,0.0,0.0,10.0,Surgencia Natural,3792.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
77.67,129.49,89.05,0.0,0.0,0.0,0.0,30.0,Plunger Lift,3880.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
6.84,70.07,3.03,0.0,0.0,0.0,0.0,26.17,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
593.0,348.83,172.22,0.0,0.0,0.0,0.0,14.13,Surgencia Natural,3840.0,NEUQUINA,NO CONVENCIONAL,Petrolífero
